event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC 9: Motor City Madness,1996-05-17,Mark Schultz,Gary Goodridge,Red,Open Weight,TKO - Doctor's Stoppage,0,3,-0.65,-0.6,-0.5666666666666667,-1.0,-1.882845188284519,-5.648535564853557,-1.6317991631799162,-1.6317991631799162,-2,-1,,-15.240000000000007,,-22.22
UFC 9: Motor City Madness,1996-05-17,Cal Worsham,Zane Frazier,Red,Open Weight,KO/TKO,1,0,0.2727272727272727,0.0,0.6363636363636364,1.0,0.0,0.0,8.709677419354838,7.741935483870967,0,1,,-15.240000000000007,,-9.070000000000007
UFC 10: The Tournament,1996-07-12,Geza Kalman,Dieusel Berto,Red,Open Weight,KO/TKO,1,0,0.6666666666666666,0.0,0.8,1.0,0.0,0.0,2.5,1.25,0,1,,10.159999999999997,,0.0
UFC 10: The Tournament,1996-07-12,Sam Adkins,Felix Lee Mitchell,Red,Open Weight,Decision - Unanimous,2,1,-0.5714285714285714,0.0,0.4545454545454546,0.0,0.0,0.0,1.179800387308208,2.7975569789959778,1,0,,0.0,,0.0
UFC 10: The Tournament,1996-07-12,Don Frye,Mark Hall,Red,Open Weight,KO/TKO,4,4,0.07331378299120239,0.25,0.32386363636363635,0.509090909090909,-1.6728624535315986,0.6955585990999802,4.429857170808062,-0.38593230287614944,1,-1,,2.539999999999992,,13.159999999999997
UFC 10: The Tournament,1996-07-12,Gary Goodridge,John Campetella,Red,Open Weight,KO/TKO,4,0,0.5833333333333334,0.5,0.6440677966101696,0.5,0.7512520868113522,2.2537562604340566,0.7011686143572621,1.051752921535893,2,2,,15.240000000000007,,6.349999999999994
UFC 10: The Tournament,1996-07-12,Don Frye,Brian Johnston,Red,Open Weight,KO/TKO,5,1,0.368595041322314,0.09999999999999998,0.36111111111111116,-0.08333333333333337,-6.206896551724139,-4.251791555344703,3.2129641189542815,-0.9372518664635822,4,0,,-5.0800000000000125,,-4.989999999999995
UFC 10: The Tournament,1996-07-12,Mark Coleman,Gary Goodridge,Red,Open Weight,Submission,1,5,0.20000000000000007,0.07142857142857145,0.3939393939393939,0.4285714285714286,-0.6998444790046656,3.42193895562404,8.315984314324151,-1.213063763608087,-2,-2,,-5.0800000000000125,1.0,-19.950000000000003
UFC 10: The Tournament,1996-07-12,Mark Coleman,Don Frye,Red,UFC 10 Tournament Title,KO/TKO,2,6,-0.015534344001497224,0.08333333333333337,0.07499999999999996,0.07692307692307687,0.0,2.4599271270641645,2.205554647460103,-0.34263935759258607,-4,0,,0.0,1.0,-6.3500000000000085
UFC 11: The Proving Ground,1996-09-20,Scott Ferrozzo,David Abbott,Red,Open Weight,Decision - Unanimous,1,5,0.25588235294117645,-0.0714285714285714,0.007032348804500654,0.125,0.8921524410869319,1.7843048821738638,-0.07695343330702453,-0.808151990077799,-3,-1,,-2.539999999999992,,26.309999999999988
UFC 11: The Proving Ground,1996-09-20,Mark Coleman,Brian Johnston,Red,Open Weight,KO/TKO,3,2,0.18518518518518517,0.3333333333333333,0.41428571428571426,0.5,-0.7231477804540412,2.095959502239773,2.4742899345696925,-1.8025808415012972,2,-1,,-5.0800000000000125,,-11.340000000000003
UFC 11: The Proving Ground,1996-09-20,Jerry Bohlander,Fabio Gurgel,Red,Open Weight,Decision - Unanimous,2,0,0.47058823529411764,0.0,0.33333333333333337,0.4,1.0297482837528604,0.0,0.5491990846681922,0.8237986270022883,1,1,,-2.539999999999992,,-2.7299999999999898
UFC 11: The Proving Ground,1996-09-20,Brian Johnston,Reza Nasri,Red,Open Weight,KO/TKO,3,0,0.5,0.25,0.23333333333333328,0.33333333333333337,1.601423487544484,1.601423487544484,1.7081850533807827,2.4555160142348753,1,2,,10.159999999999997,,11.340000000000003
UFC 11: The Proving Ground,1996-09-20,Mark Coleman,Julian Sanchez,Red,Open Weight,Submission,4,0,0.6824324324324325,0.7,0.631578947368421,1.0,1.2702893436838392,4.446012702893437,4.276640790402259,0.2964008468595625,4,0,,-5.0800000000000125,,-43.09000000000002
UFC 11: The Proving Ground,1996-09-20,Scott Ferrozzo,Sam Fulton,Red,Open Weight,Submission,2,0,0.6509433962264151,0.4,0.5254237288135593,1.0,1.2448132780082988,2.4896265560165975,5.726141078838174,2.3236514522821574,1,1,,0.0,,0.0
UFC 11: The Proving Ground,1996-09-20,David Abbott,Sam Adkins,Red,Open Weight,Submission,6,3,-0.3904761904761904,0.16666666666666669,-0.08981769675411289,0.2222222222222221,0.7109004739336493,-1.8156091240751477,-4.981929148624229,1.1643765556275356,1,2,,-7.6200000000000045,,18.14
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,David Abbott,Red,Ultimate Ultimate '96 Tournament Title,Submission,7,7,0.2412101787101787,-0.05555555555555558,0.17714285714285716,-0.12222222222222223,-1.0158013544018059,-0.16239001243838413,1.0758626249596903,-1.4274197263555535,2,-2,,2.539999999999992,,-20.86
UFC - Ultimate Ultimate '96,1996-12-07,David Abbott,Steve Nelmark,Red,Open Weight,KO/TKO,8,1,-0.3241279069767442,-0.5,0.33678756476683935,-0.09090909090909094,-1.0370704502583452,-2.4026080538013614,0.08660706963011555,2.2635938653325676,3,4,,0.0,,11.340000000000003
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,Mark Hall,Red,Open Weight,Submission,8,5,-0.002866698518872446,0.2444444444444444,0.3639823717948718,0.45614035087719296,-0.03700807442451404,0.7025153438170635,2.2703177518941824,-0.1578373105197226,4,-1,,2.539999999999992,,13.159999999999997
UFC - Ultimate Ultimate '96,1996-12-07,Ken Shamrock,Brian Johnston,Red,Open Weight,Submission,5,4,-0.23000000000000004,0.09999999999999998,0.443084909158324,0.5,2.418485123070753,-0.6845021464965311,-0.5545536921225802,-0.9717613155275626,2,-1,,-5.0800000000000125,,-11.340000000000003
UFC - Ultimate Ultimate '96,1996-12-07,Kimo Leopoldo,Paul Varelans,Red,Open Weight,KO/TKO,2,7,0.3642857142857143,0.2142857142857143,0.19047619047619047,-0.11111111111111105,-1.5349630471859013,0.6311030665819481,-0.09091897134066818,-2.1671320603283952,-4,-1,,-12.699999999999989,,-29.49000000000001
UFC - Ultimate Ultimate '96,1996-12-07,David Abbott,Cal Worsham,Red,Open Weight,KO/TKO,9,2,0.08297258297258292,0.045454545454545414,-0.29166666666666663,-0.08333333333333337,0.9632536567962896,-1.5891176864074208,-2.2280257759543347,0.6733577863003921,4,3,,2.539999999999992,,15.870000000000005
UFC - Ultimate Ultimate '96,1996-12-07,Don Frye,Gary Goodridge,Red,Open Weight,Submission,9,6,0.0905905905905906,0.025000000000000022,0.013667890656874793,0.3555555555555556,0.5726946746274474,-0.11565680741350115,1.9401966882310953,-0.48578725453383287,5,-2,,-5.0800000000000125,0.0,-13.599999999999994
UFC - Ultimate Ultimate '96,1996-12-07,Tai Bowden,Jack Nilson,Red,Open Weight,KO/TKO,1,0,1.0,0.0,0.1875,0.0,0.0,0.0,0.5393258426966292,1.7528089887640448,0,1,,0.0,,0.0
UFC - Ultimate Ultimate '96,1996-12-07,Steve Nelmark,Marcus Bossett,Red,Open Weight,Submission,2,2,0.20833333333333337,0.16666666666666663,0.07326007326007322,0.0,1.7716535433070868,0.949647144251061,-1.6865597131770635,-0.020762894551725752,0,0,,-2.539999999999992,,11.340000000000003
UFC - Ultimate Ultimate '96,1996-12-07,Mark Hall,Felix Lee Mitchell,Red,Open Weight,KO/TKO,6,2,-0.3571428571428571,0.16666666666666666,0.11875000000000002,0.09523809523809523,0.7633587786259542,0.7633587786259542,-0.2027776843662777,-2.3666364013406422,3,1,,0.0,,0.0
